date,url,username,content,cleaned,cleaned_en,polarity,label
2022-11-30,https://twitter.com/GembokHendryx/status/1597774491836633088,GembokHendryx,"@aniesbaswedan @kahminasionalRI Boleh nanya ga???
Emang udah pasti jadi CAPRES to??? 
Apa cuma jadi BACAPRES???
🤣",boleh engak pasti bacapres,can or not for sure readpres,0.5,Positif
2022-11-30,https://twitter.com/Qnyasatuaja/status/1597754612500484096,Qnyasatuaja,"@regar_0p0sisi @aniesbaswedan Pernyataan Gusdur yang menyebut bahwa Prabowo adalah orang yang paling ikhlas di negara ini, Insyaallah akan segera terbukti.

Insyaallah, Pak Prabowo akan ikhlas meliat Anies Jadi Presiden RI.",pernyatan gusdur sebut ikhlas negara insya bukti insya ikhlas liat,"Gusdur's statement called the state's sincerity, God willing, the proof will be sincere",0.375,Positif
2022-11-30,https://twitter.com/bagoes_Laloan/status/1597752357957165056,bagoes_Laloan,"@medcom_id @aniesbaswedan Terus Framing!! boleh koq tapi nda ada ceritanya dlm sejarah presiden Indonesia berakhiran ""EDAN"" 😍 https://t.co/XZGVGaLRzc",framing boleh cerita sejarah akhir,framing can tell the story of the end of history,0.0,Netral
2022-11-29,https://twitter.com/junichirich/status/1597731784070148096,junichirich,"@UNajib4 @PartaiSocmed @aniesbaswedan 22 nya ga mutu, yg skr ibarat singa yg sdh tau medan mau makan proyek yg mana gampang krn oligarki sdh terbentuk tinggal lobi mau ini ambil, capres yg satu di isi singa2 lapar yg bakal menerkam proyek apa aja di depan mata krn kelaparan panjang jd oposisi. Serba salah",engak mutu singa medan makan proyek gampang oligarki bentuk tingal lobi satu singa lapar terkam proyek lapar oposisi serba salah,"No, the quality of the lions of the field eats the easy project of the oligarchs. The only thing left is the lobby. One hungry lion pounces on a hungry project. The opposition goes awry",0.14444444444444446,Positif
2022-11-29,https://twitter.com/ari_wijono/status/1597731485796401153,ari_wijono,"@aniesbaswedan @kahminasionalRI Hmmmm.....berbusa busa ngomong, jualan sana sini berbekala nggedabrus, kalau bisa, kalau bisa lho ya,  menjadi kontestan capres ...sorry Wan gak akan saya pilih...muakkkk",hm busa busa omong jual berbekala ngedabrus bisa bisa lho kontestan maf engak pilih muak,"hm, foam, foam, by the way, selling armed cans, you can, you know, contestants, sorry, I'm fed up with choosing",-0.5,Negatif
2022-11-29,https://twitter.com/pdo3004/status/1597731094119342080,pdo3004,"@harryabrianto @SahiraYora @aniesbaswedan Lucu pandai memanipulasi ucapan presiden. Perhatikan ya, p Jokowi blg ada pemimpin yg memikirkan rakyat sampai rambutnya putih semua. Tidak semua org berambut putih mikirkan rakyat, dan tdk semua berambut hitam tdk mikirin kamu. Belajar detil",lucu pandai manipulasi ucap perhati jokowi pimpin pikir rakyat rambut putih rambut putih mikirkan rakyat rambut hitam pikir ajar detil,funny good at manipulation pay attention jokowi pimpin think people with white hair white hair think people with black hair think about details,0.15666666666666668,Positif
2022-11-29,https://twitter.com/lionelwel101817/status/1597716872232718336,lionelwel101817,"@sobat_anies @aniesbaswedan Masyarakat sdh byk yg cerdas.. Pilpres masih lama,kpu jg blm mnetapkan capres cawapres. Ini kalian anies sdh kampanye duluan dimana2,di mesjid,pasang spanduk sampai baleho.. Ambisi sekali mau brkuasa seperti para mafia ingin ngrampok uang negara. Lebih mmentingkan diri sendiri",masyarakat cerdas kpu belum mnetapkan kampanye duluan masjid spanduk baleho ambisi brkuasa mafia ingin ngrampok negara ting,"intelligent people, kpu has not yet decided on a campaign first, baleho banner mosque, ambition to rule, mafia wants to rob high countries",0.3525,Positif
2022-11-29,https://twitter.com/awi_andy/status/1597692199159795712,awi_andy,"@sobat_anies @aniesbaswedan Gini mau baik Anis kamu sdh curi start sebelum kampanye. Baru bakalcapres sdh merasa capres. Mending kelauat aja @aniesbaswedan ,@Relawananies",baik curi start kampanye baru bakalcapres baik kelauat,"it's good to start a new campaign for the presidential candidate, either to the sea or the other",0.2371212121212121,Positif
2022-11-29,https://twitter.com/HardyThe1/status/1597677078597378048,HardyThe1,"@Marthin_Allan @aniesbaswedan @anwaribrahim Anies itu baru bacapres,karena nasdem belum cukup 20 ‰. Kalau sudah 20% baru jadi capres kalau didaftarkan ke kpu.",baru bacapres nasdem belum baru daftar kpu,"just read the Nasdem presidential election, haven't just registered for the KPU",0.0,Netral
2022-11-29,https://twitter.com/antasa96/status/1597669104743501825,antasa96,"Saya kira,capres seperti @aniesbaswedan BUKAN pilihan orang cerdas. https://t.co/IXrth7ftKK https://t.co/qlq5LjXcKV",pilih cerdas,choose smart,0.21428571428571427,Positif
2022-11-29,https://twitter.com/dirutam/status/1597647344681771008,dirutam,"@olvaholvah @aniesbaswedan @NasDem Ngebet banget mau beol...
Kendaraannya aja gak pya...
Gmana mau nyapres...
Jd presiden tuch..di kebon kosong.
Atau presiden ketoprak.",ngebet beol kendara engak pya kebon kosong ketoprak,it's hard to drive or not to drive an empty ketoprak kebon,-0.19583333333333336,Negatif
2022-11-29,https://twitter.com/_Umamlik/status/1597615849447489537,_Umamlik,"Katanya firaun capres 
Di otaknya malah nunjukkin hasil karya bambu mesum...
Buzzer firaun gwoblok semua sih
Bedain individu m partai aja gk bisa
Goblokkk 
Ajarin tuh @aniesbaswedan buzzermu biar pinter 😁 https://t.co/Rpmtgq1Ddl",firaun otak nunjukin hasil karya bambu mesum buzer firaun gwoblok beda individu partai engak bisa goblok ajar buzermu pintar,Pharaoh Brain shows the work of nasty bamboo buzer Pharaoh I'm a different party individual can't be stupid teach your buzer to be smart,-0.3171428571428571,Negatif
2022-11-29,https://twitter.com/hlukmanul05/status/1597612937908465666,hlukmanul05,@medcom_id @aniesbaswedan Berapakah persen kah pemilih Rasional di Indonesia?. Bukankah presiden sekrang menang karena pemilih di 2019 para irrasionalle .,persen pilih rasional menang pilih irasionale,percent choose rational win choose irrationale,0.8,Positif
2022-11-29,https://twitter.com/kristal_garden/status/1597603409104101377,kristal_garden,@medcom_id @aniesbaswedan Rakyat Indonesia yang waras + cerdas pasti menolak balon capres pengangguran yang didukung kadrun... 🤭💋 https://t.co/paD1BUIGJD,rakyat waras cerdas pasti tolak balon penganguran dukung kadrun,smart sane people definitely reject unemployment balloons support kadrun,0.10714285714285714,Positif
2022-11-29,https://twitter.com/c_xptg/status/1597598408776507395,c_xptg,@Ramires07543204 @EdigemborGe @VIVAcoid @aniesbaswedan Wkwkwk toleran kok goblok2in presiden kapolri…,toleran goblok kepala polisi republik indonesia,Tolerant stupid chief of police of the Republic of Indonesia,-0.7999999999999999,Negatif
2022-11-29,https://twitter.com/Prihandono72/status/1597587381015957505,Prihandono72,@CrbSira @WAHYU_UNIFORM @Thomastjik @AwYesaya @_SEKNAS_RI @Lembayung071 @Rasto66010876 @dann84620377 @bambang20020901 @BigDaddy234s @SangPejuank @erfinsyafrizal3 @rmiryanti @AriHend95106868 @SopanEdan @Metdro2 @anakranto64 @Pemberang1 @OrangBa13921152 @2020Kadrun @Cantika82104633 @borutoforhokage @harrycoocaa @Eddianto1 @Antaredja1 @SutayaLili @Budi_Dharma88 @BejoMulyo18 @mazkeboijo @ronaldo_juang @Nr53N74H7N @Pelangi32224458 @_NanaRosa__ @EffendiRistriy1 @kangwaqfi2 @EAbadi7 @hudattamini @ALIBABABETRESMI @Adzani03_Putri @AdrianROYALQ @abu_miftah13 @AgungSu76387898 @BocahKulon7 @barisoegriwa @ArekArusBawah @RonyAritonang3 @S4N_W1B1 @aniesbaswedan Yaaa...Bener...jugaa....Pamtesan DOI Diam saja...melihat Intoleran...SaatvMau Jadi Gubenur dan saat Malah Bertemen dg Mereka....eeehhh...Enggak  tahunya ...DIA Nunggu Jadi Presiden Dulu...baru Beraksi...DASAR MBAH NYA KADRUN !!!....ASUU  ...TENANN...,benar pamtesan diam intoleran satvmau gubenur bertemen tahu tungu baru aksi dasar kadrun tenan,true pamtesan silence intolerant satvmau governor befriends know tungu new basic action kadrun tenan,0.14659090909090908,Positif
2022-11-29,https://twitter.com/sakerah/status/1597586644668125184,sakerah,@SatriaM80232145 @olvaholvah @aniesbaswedan @NasDem Cocok jadi Presiden Qatar nih 👏👍,cocok qatar,fit qatar,0.4,Positif
2022-11-29,https://twitter.com/bonyfebrian/status/1597584817050488832,bonyfebrian,@4244e9a4b4ec424 @aazni @FacebookPetani @NasDem @adityawilly @aniesbaswedan @ganjarpranowo @ridwankamil Niat banget dek bikin twitter isi nya buat nge hina orang. Untung apa? Kaga kerja2 lu apa? Wkwkwk. Mau siapapun presiden nya. Yg jelas jangan jadi pemuja yg tolol nya sama kayak lu dek. 😄,niat twiter untung kagak kerja jelas jangan puja tolol,the intention of twiter is profitable not working clearly don't worship stupid,-0.35,Negatif
2022-11-29,https://twitter.com/Amanda12121292/status/1597571065454399495,Amanda12121292,@Yurissa_Samosir Pk @aniesbaswedan memang keren banget PRESIDEN RI,keren,cool,0.35,Positif
2022-11-29,https://twitter.com/dedifrozenfood/status/1597567256338501632,dedifrozenfood,"@Eppoy89 @bamblend @AniesIndonesia @aniesbaswedan Yang goblok itu yg dukung presiden yang bisa ditikung, dijebak, dan dikerdilkan pendukungnya... Masa presiden bisa dijebak realawannya sendiri... Sorry gw ngakak dulu... 🤣",bodoh dukung bisa tikung jebak kerdil dukung bisa jebak realawanya maf akak,stupid support can bend trap dwarf support can trap realawanya sorry bro,-0.6499999999999999,Negatif
2022-11-29,https://twitter.com/boynet99/status/1597564731807903745,boynet99,"@NasDem @adityawilly @aniesbaswedan bakal calon presiden (BACAPRES)
calon presiden (CAPRES)

ini mana yg bener??

salam restoran... Take🍺",bacapres benar restoran take,Bacapres is true restaurant take,0.35,Positif
2022-11-29,https://twitter.com/variztelrooy/status/1597562175559983104,variztelrooy,"@PartaiSocmed @aniesbaswedan Betul
Tukang vonis semua
Isinya generasi itu
Anies aslinya pinter dan cocok jadi presiden,gara2 mereka jadi pada males tuh pemilih muda",betul tukang vonis isi generasi asli pintar cocok malas pilih muda,It's true that the original generation was smart enough to be lazy to choose young people,0.13154761904761905,Positif
2022-11-29,https://twitter.com/dian_athena/status/1597547562923610116,dian_athena,@regar_0p0sisi @aniesbaswedan Sebaiknya jadi king maker aja..ga harus jd presiden...spt LBP tuh,king maker engak lbp,no king maker or not,0.0,Netral
2022-11-29,https://twitter.com/BurhanAbbas/status/1597537631210201088,BurhanAbbas,"@HelmiFelis_ Pak @aniesbaswedan , tolong kalau bapak jadi presiden orang ini (Heru Budi Hartono) dipecat dengan tidak hormat.",heru budi hartono pecat hormat,Heru Budi Hartono respectfully dismissed,0.5,Positif
2022-11-29,https://twitter.com/UNajib4/status/1597537610263859201,UNajib4,"@PartaiSocmed @aniesbaswedan Pak Anis bukan capres favorit saya tum, tapi jika hanya ada dua paslon yg maju di 2024, dan paslon yg satunya lagi dari kubu yg sekarang, maka tidak ada pilihan lain tentunya kita akan pilih Anis. Dengan harapan adanya perubahan iklim demokrasi.",favorit tum paslon paslon satu kubu pilih pilih harap ubah iklim demokrasi,favorite tum paslon pair one camp vote vote please change the climate of democracy,0.5,Positif
2022-11-29,https://twitter.com/SukijoWong/status/1597533756486995968,SukijoWong,@olvaholvah @aniesbaswedan @NasDem Faktanya capres yang lain dalam segala hal tidak sebaik dan sepantas Anies Rasyid Baswedan untuk jadi Presiden 2024.,fakta pantas rasyid,rashid fast facts,0.2,Positif
2022-11-29,https://twitter.com/inuchiua/status/1597531542968233984,inuchiua,"@NasDem @adityawilly @aniesbaswedan Siapapun Cawapresnya, GANJAR pasti Presiden.
Siapapun Cawapresnya, ANIES pasti Kalah.

https://t.co/bKb6P5GOj4",cawapresnya pasti cawapresnya pasti kalah,cawapresnya definitely cawapresnya definitely lose,0.0,Netral
2022-11-29,https://twitter.com/om_popik/status/1597530197414539267,om_popik,@aniesbaswedan kalau jadi presiden...jangan lupa pak...angkat dia jadi menteri...,jangan angkat menteri,don't appoint a minister,0.0,Netral
2022-11-29,https://twitter.com/mas_taqien/status/1597528242398773248,mas_taqien,"@utomo_suheri @dg_kawank @BosPurwa @RamliRizal @aniesbaswedan @basuki_btp Lha, siapa yg bilang dukung ahok jd presiden? Dia kan mantan napi? Dan terbukti merugikan negara dlm kasus RS sumber waras. Jd gk layak masuk jd calon presiden. KPKnya aja yg gk berani nangkep.",dukung narapidana bukti rugi negara sumber waras engak layak kpknya engak berani nangkep,support convicts as proof of loss to the state,0.0,Netral
2022-11-29,https://twitter.com/ArieSeptiawati/status/1597525530596630528,ArieSeptiawati,"@DinsosDKI1 @jokowi @ganjarpranowo @aniesbaswedan 
Yg terhormat Bapak Presiden RI,
Saya ingin sdkit berkomentar dan bertnya,
Bantuan BPNT skrg itu turun berupa uang tunai, dan hrus dibelanjakan bahan pokok di agen yg sudah disediakan..",hormat ingin komentar bertnya bantu bpnt turun tunai belanja bahan pokok agen sedia,"Sincerely, I would like to comment, ask, help BPNT cash out, shop for staples, agents are available",0.45,Positif
2022-11-29,https://twitter.com/DedyNugrahadi/status/1597521440957698048,DedyNugrahadi,"@sobat_anies @aniesbaswedan HTI, NII, FPI, ACT dan PA 212 siap dukung mas Anies.....presiden umat muslim yg Jujur dan amanah....Barakallah....takbirrrr",hti front bela islam act siap dukung umat muslim jujur amanah barakalah takbir,hti front defend islam act ready to support honest muslims trust barakalah takbir,0.4,Positif
2022-11-29,https://twitter.com/diazika81/status/1597517377243344896,diazika81,"@olvaholvah @aniesbaswedan @NasDem Never give up, Nasdem. 
Capres Nasdem Orang yg luar biasa.",never give nasdem nasdem,never give nasdem nasdem,0.0,Netral
2022-11-29,https://twitter.com/slamet12270/status/1597488828717363200,slamet12270,"@sobat_anies @aniesbaswedan NASI ADEM nya nggak Cukup untuk mengusung capres…..!
Mau maju lewat mana Blm juga pasti 🤷🏼‍♀️🤷🏼",adem engak usung belum pasti,cool or not stretcher not sure,0.04999999999999999,Positif
2022-11-29,https://twitter.com/ghodheh/status/1597488731719860225,ghodheh,@AniesIndonesia @aniesbaswedan Wah cocok kalau anis jd presiden di qatar... jd presidennya unta ....,cocok qatar presidenya unta,suitable qatar presidentnya camel,0.55,Positif
2022-11-29,https://twitter.com/Robi80049963/status/1597488474688434176,Robi80049963,@alextham878 @aniesbaswedan Tangkap yg menghina presiden,tangkap hina,catch contempt,0.0,Netral
2022-11-29,https://twitter.com/RoyadiRahmat/status/1597481833490681858,RoyadiRahmat,"@sobat_anies @aniesbaswedan Siapapun dan berapapun calon presidennya saya dukung
Kalau soal milih suka2 gw dong

Soal dukung calon jangankan cuma jadi presiden,jadi calon pengganti ketua PBB saya akan dukung.",presidenya dukung pilih suka suka dukung anti ketua pb dukung,the president supports voting like likes supports anti PB chairman supports,0.0,Netral
2022-11-29,https://twitter.com/KangSarjono1/status/1597476340126842881,KangSarjono1,"@regar_0p0sisi @aniesbaswedan Saat Pidato Prabowo, Justru Teriakan Anies Presiden Menggema https://t.co/2SpqhFBDAr",pidato ria mengema,resounding speech,0.0,Netral
2022-11-29,https://twitter.com/cacaancat/status/1597473132910358529,cacaancat,"@olvaholvah @aniesbaswedan @NasDem Capres aja belom tentu jadi, pedeee",belum pede,not yet confident,0.5,Positif
2022-11-29,https://twitter.com/hamzahpsm1977/status/1597472494151118848,hamzahpsm1977,"@olvaholvah @aniesbaswedan @NasDem Kalo mau menang suara di TPS dijaga sampai KPU, biar pemilih 60 % tp yg hitung di TPS bukan pemilih siap2 gigit jari lagi CAPRES kita",menang suara tps jaga kpu pilih hitung tps pilih siap siap gigit jari,vote wins tps guard kpu choose count tps select ready ready to bite the finger,0.2333333333333333,Positif
2022-11-29,https://twitter.com/Thetruthlink01/status/1597457432523202560,Thetruthlink01,"@SINDOnews Semoga setelah Pak @aniesbaswedan jadi Presiden tidak seperti ini ya masih ngumpulin relawan. Satukan negeri yg sudah rusak ini Pak,bangun kembali. Salam",moga ngumpulin rawan satu negeri rusak bangun,I hope that the country is prone to being broken up,-0.4,Negatif
2022-11-29,https://twitter.com/Sarvo4/status/1597456394202251264,Sarvo4,"@olvaholvah @aniesbaswedan @NasDem Bicara capres itu kalau sdh memenuhi syarat, persoalannya nanti kalau tdk memenuhi syarat yang pasti disalahin pasti Jokowi sudah ketebak kok.",bicara penuh syarat persoalanya penuh syarat pasti disalahin pasti jokowi tebak,"If you talk in full conditions, the problem is full of conditions, you will definitely be blamed, Jokowi will definitely guess",0.175,Positif
2022-11-29,https://twitter.com/Udin_prabowo/status/1597453207563030528,Udin_prabowo,"@anwaribrahim Jika indonesi 2024 yg jadi presiden pak @prabowo  atau pak @aniesbaswedan maka sangat banyak kesaman &amp; tambah samakin erat hubungan malaysia indonesia...
Semoda sehat selalu DSAI 🤲🤲🤲",kesam samakin erat hubung malaysia semoda sehat dsai,kesam samakin close relationship with Malaysia as healthy as dsai,0.5,Positif
2022-11-29,https://twitter.com/NafysSeword/status/1597436936553365504,NafysSeword,"Apa mungkin tokoh oposisi seperti @aniesbaswedan  mau melanjutkan program Presiden @jokowi ?

Mikirrrrr",tokoh oposisi lanjut mikir,Opposition figures continued to think,0.0,Netral
2022-11-29,https://twitter.com/Hrry777/status/1597427884008017920,Hrry777,"@NasDem @adityawilly @aniesbaswedan Di Pemerintahan Jokowi di pecat, eeeeehh... Disini malah di Capres kan 🤣😂🤣😂🤣😂...  Ente kadang kadang ente.",perintah jokowi pecat kadang kadang,jokowi orders to fire sometimes,0.0,Netral
2022-11-29,https://twitter.com/sangmegalodon/status/1597420876198457350,sangmegalodon,"@AbdulWahabAlBi2 @sobat_anies @aniesbaswedan Toleransi di Amrik: kaum budak jadi presiden, di Inggris: keturunan india jadi PM, di Indo: wan abud jadi pleciden",toleransi amrik kaum budak ingris turun india private mesage abud pleciden,american tolerance british slaves down india private message abud pleciden,-0.038888888888888896,Negatif
2022-11-29,https://twitter.com/MinoruNiihara3/status/1597401420101472257,MinoruNiihara3,@aniesbaswedan @Persija_Jkt DAN SEMOGA ALLAH SWT MENGANGKAT BAPAK PRABOWO SUBIANTO ATAU BAPAK GANJAR PRANOWO MENJADI PRESIDEN REPUBLIK INDONESIA.... 🤲🤲🤲Aamiin YRA....,moga angkat republik yra,please raise the republic of yra,0.0,Netral
2022-11-29,https://twitter.com/ljovitaadisa/status/1597399520597651456,ljovitaadisa,"@AniesIndonesia @aniesbaswedan asyik....Qatar mau pilih anies jd presiden, tp Qatar bentuk pemerintahan bukanya kerajaan yah, jd anies di Qatar jd presiden apaan yah?",asyik qatar pilih qatar bentuk perintah buka kerajan qatar,fun qatar select qatar command form open qatar kingdom,0.15,Positif
2022-11-29,https://twitter.com/ketombe_herman/status/1597398073793466368,ketombe_herman,@aniesbaswedan @Persija_Jkt Siap pak presiden 2024,siap,ready,0.2,Positif
2022-11-29,https://twitter.com/kikierlianagma1/status/1597390845594185728,kikierlianagma1,"@NasDem @adityawilly @aniesbaswedan Ini percakapan antara suami istri sebelum nasdem nyalonke anis baswedan. ""Mas, ketoe ibuk pilih nasdem teng pemilu thn 2024"", jawab suami ""monggo dek"". 
Setelah nasdem pilih anis jd calon presiden ""dek, sios milih nasdem?"" jawab istri ""boten mas"". Suami beeeelikkkkke ""oke""",cakap suami istri nasdem nyalonke ketoe pilih nasdem pilih suami mongo nasdem pilih sios pilih nasdem istri boten suami belike,say husband and wife nasdem nyalonke ketoe choose nasdem choose husband mongo nasdem choose sios choose nasdem wife boten husband belike,0.0,Netral
2022-11-29,https://twitter.com/b4ce6d77c34e41e/status/1597388236036636673,b4ce6d77c34e41e,"@olvaholvah @aniesbaswedan @NasDem Jikan Anis jadi presiden,, 
Maka dia adalah Presiden satu2nya YG bukan orang jawa sepanjnag sejarah indonesia",jikan satu sepanjnag sejarah,if one throughout history,0.0,Netral
2022-11-29,https://twitter.com/makhluk_62/status/1597380206729506816,makhluk_62,"@LuckmanhHakim @tessajah123 @AndreTa81191419 @YektiWidodo6 @AniesIndonesia @aniesbaswedan Kalo elu masih gak paham ganti ava Lu..
Bikin malu aja. Ava Presiden tapi otak lu sungsang.. DONGO",engak paham ganti avatar malu avatar otak sungsang dongo,don't understand change avatar shy avatar breech brain dongo,-0.5,Negatif
